Taxon,Genus,Hybrid.marker,Species,Abbrev,Infraspecific.rank,Infraspecific,Authority,ID,Plant.Name.Index,TPL.version,Taxonomic.status,Family,New.Genus,New.Hybrid.marker,New.Species,New.Infraspecific.rank,New.Infraspecific,New.Authority,New.ID,New.Taxonomic.status,Typo,WFormat,Higher.level,Date,Tax_res
Dryopteris dilatata,Dryopteris,"",dilatata,,,"","",tro-26601334,TRUE,1.1,Accepted,Dryopteridaceae,Dryopteris,"",dilatata,"","",(Hoffm.) A. Gray,tro-26601334,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Dryopteris expansa,Dryopteris,"",expansa,,,"","",tro-26600148,TRUE,1.1,Accepted,Dryopteridaceae,Dryopteris,"",expansa,"","",(C. Presl) Fraser-Jenk. & Jermy,tro-26600148,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Dryopteris filix-mas,Dryopteris,"",filix-mas,,,"","",tro-26602214,TRUE,1.1,Accepted,Dryopteridaceae,Dryopteris,"",filix-mas,"","",(L.) Schott,tro-26602214,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Dryopteris oreades,Dryopteris,"",oreades,,,"","",tro-26610313,TRUE,1.1,Unresolved,Dryopteridaceae,Dryopteris,"",oreades,"","",Fomin,tro-26610313,Unresolved,FALSE,FALSE,FALSE,2020-10-10,Species
Dryopteris remota,Dryopteris,"",remota,,,"","",tro-26600155,TRUE,1.1,Accepted,Dryopteridaceae,Dryopteris,"",remota,"","",(A. Braun) Hayek,tro-26600155,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Dryopteris submontana,Dryopteris,"",submontana,,,"","",tro-26600157,TRUE,1.1,Accepted,Dryopteridaceae,Dryopteris,"",submontana,"","",Fraser-Jenk.,tro-26600157,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Polystichum aculeatum,Polystichum,"",aculeatum,,,"","",tro-50104115,TRUE,1.1,Accepted,Dryopteridaceae,Polystichum,"",aculeatum,"","",(L.) Roth ex Mert.,tro-50104115,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Polystichum lonchitis,Polystichum,"",lonchitis,,,"","",tro-26602436,TRUE,1.1,Accepted,Dryopteridaceae,Polystichum,"",lonchitis,"","",(L.) Roth,tro-26602436,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Polystichum setiferum,Polystichum,"",setiferum,,,"","",tro-26600289,TRUE,1.1,Accepted,Dryopteridaceae,Polystichum,"",setiferum,"","",(Forssk.) Moore ex Woyn.,tro-26600289,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Polypodium cambricum,Polypodium,"",cambricum,,,"","",tro-26602401,TRUE,1.1,Accepted,Polypodiaceae,Polypodium,"",cambricum,"","",L.,tro-26602401,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Polypodium interjectum,Polypodium,"",interjectum,,,"","",tro-26600279,TRUE,1.1,Accepted,Polypodiaceae,Polypodium,"",interjectum,"","",Shivas,tro-26600279,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Polypodium vulgare,Polypodium,"",vulgare,,,"","",tro-26600283,TRUE,1.1,Accepted,Polypodiaceae,Polypodium,"",vulgare,"","",L.,tro-26600283,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Pinus sylvestris,Pinus,"",sylvestris,,,"","",kew-2562297,TRUE,1.1,Accepted,Pinaceae,Pinus,"",sylvestris,"","",L.,kew-2562297,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Pseudotsuga menziesii,Pseudotsuga,"",menziesii,,,"","",kew-2556763,TRUE,1.1,Accepted,Pinaceae,Pseudotsuga,"",menziesii,"","",(Mirb.) Franco,kew-2556763,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Juniperus communis,Juniperus,"",communis,,,"","",kew-2332579,TRUE,1.1,Accepted,Cupressaceae,Juniperus,"",communis,"","",L.,kew-2332579,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Taxus baccata,Taxus,"",baccata,,,"","",kew-2434158,TRUE,1.1,Accepted,Taxaceae,Taxus,"",baccata,"","",L.,kew-2434158,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Cabomba caroliniana,Cabomba,"",caroliniana,,,"","",kew-28282,TRUE,1.1,Accepted,Cabombaceae,Cabomba,"",caroliniana,"","",A.Gray,kew-28282,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Nuphar lutea,Nuphar,"",lutea,,,"","",kew-2384511,TRUE,1.1,Accepted,Nymphaeaceae,Nuphar,"",lutea,"","",(L.) Sm.,kew-2384511,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Nuphar pumila,Nuphar,"",pumila,,,"","",kew-2383377,TRUE,1.1,Accepted,Nymphaeaceae,Nuphar,"",pumila,"","",(Timm) DC.,kew-2383377,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Nymphaea alba,Nymphaea,"",alba,,,"","",kew-2383355,TRUE,1.1,Accepted,Nymphaeaceae,Nymphaea,"",alba,"","",L.,kew-2383355,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Ceratophyllum demersum,Ceratophyllum,"",demersum,,,"","",kew-36902,TRUE,1.1,Accepted,Ceratophyllaceae,Ceratophyllum,"",demersum,"","",L.,kew-36902,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Ceratophyllum submersum,Ceratophyllum,"",submersum,,,"","",kew-36951,TRUE,1.1,Accepted,Ceratophyllaceae,Ceratophyllum,"",submersum,"","",L.,kew-36951,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Ceratocapnos claviculata,Ceratocapnos,"",claviculata,,,"","",kew-2711063,TRUE,1.1,Accepted,Papaveraceae,Ceratocapnos,"",claviculata,"","",(L.) Lidén,kew-2711063,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Chelidonium majus,Chelidonium,"",majus,,,"","",kew-2716702,TRUE,1.1,Accepted,Papaveraceae,Chelidonium,"",majus,"","",L.,kew-2716702,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Fumaria bastardii,Fumaria,"",bastardii,,,"","",kew-2815297,TRUE,1.1,Accepted,Papaveraceae,Fumaria,"",bastardii,"","",Boreau,kew-2815297,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Fumaria capreolata,Fumaria,"",capreolata,,,"","",kew-2815328,TRUE,1.1,Accepted,Papaveraceae,Fumaria,"",capreolata,"","",L.,kew-2815328,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Fumaria densiflora,Fumaria,"",densiflora,,,"","",kew-2815356,TRUE,1.1,Accepted,Papaveraceae,Fumaria,"",densiflora,"","",DC.,kew-2815356,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Fumaria muralis,Fumaria,"",muralis,,,"","",kew-2815468,TRUE,1.1,Accepted,Papaveraceae,Fumaria,"",muralis,"","",Sond. ex W.D.J.Koch,kew-2815468,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Fumaria occidentalis,Fumaria,"",occidentalis,,,"","",kew-2815497,TRUE,1.1,Accepted,Papaveraceae,Fumaria,"",occidentalis,"","",Pugsley,kew-2815497,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Fumaria officinalis,Fumaria,"",officinalis,,,"","",kew-2815499,TRUE,1.1,Accepted,Papaveraceae,Fumaria,"",officinalis,"","",L.,kew-2815499,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Fumaria parviflora,Fumaria,"",parviflora,,,"","",kew-2815524,TRUE,1.1,Accepted,Papaveraceae,Fumaria,"",parviflora,"","",Lam.,kew-2815524,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Fumaria purpurea,Fumaria,"",purpurea,,,"","",kew-2815552,TRUE,1.1,Accepted,Papaveraceae,Fumaria,"",purpurea,"","",Pugsley,kew-2815552,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Fumaria reuteri,Fumaria,"",reuteri,,,"","",kew-2815558,TRUE,1.1,Accepted,Papaveraceae,Fumaria,"",reuteri,"","",Boiss.,kew-2815558,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Fumaria vaillantii,Fumaria,"",vaillantii,,,"","",kew-2815620,TRUE,1.1,Accepted,Papaveraceae,Fumaria,"",vaillantii,"","",Loisel.,kew-2815620,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Glaucium flavum,Glaucium,"",flavum,,,"","",kew-2826358,TRUE,1.1,Accepted,Papaveraceae,Glaucium,"",flavum,"","",Crantz,kew-2826358,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Papaver cambricum,Papaver,"",cambricum,,,"","",kew-2560601,TRUE,1.1,Accepted,Papaveraceae,Papaver,"",cambricum,"","",L.,kew-2560601,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Papaver dubium,Papaver,"",dubium,,,"","",kew-2560793,TRUE,1.1,Accepted,Papaveraceae,Papaver,"",dubium,"","",L.,kew-2560793,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Papaver lecoqii,Papaver,"",lecoqii,,,"","",kew-2560746,TRUE,1.1,Synonym,Papaveraceae,Papaver,"",dubium,subsp.,lecoqii,(Lamotte) Syme,kew-2871019,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Papaver rhoeas,Papaver,"",rhoeas,,,"","",kew-2561554,TRUE,1.1,Accepted,Papaveraceae,Papaver,"",rhoeas,"","",L.,kew-2561554,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Papaver somniferum,Papaver,"",somniferum,,,"","",kew-2561497,TRUE,1.1,Accepted,Papaveraceae,Papaver,"",somniferum,"","",L.,kew-2561497,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Roemeria argemone,Roemeria,"",argemone,,,"","",kew-2425878,TRUE,1.1,Unresolved,Papaveraceae,Roemeria,"",argemone,"","","(L.) C.Morales, R.Mend. & Romero García",kew-2425878,Unresolved,FALSE,FALSE,FALSE,2020-10-10,Species
Roemeria hispida,Roemeria,"",hispida,,,"","","",FALSE,1.1,"","",Roemeria,"",hispida,,"","","","",FALSE,FALSE,FALSE,2020-10-10,Genus
Roemeria hybrida,Roemeria,"",hybrida,,,"","",kew-2425876,TRUE,1.1,Accepted,Papaveraceae,Roemeria,"",hybrida,"","",(L.) DC.,kew-2425876,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Berberis vulgaris,Berberis,"",vulgaris,,,"","",kew-2674612,TRUE,1.1,Accepted,Berberidaceae,Berberis,"",vulgaris,"","",L.,kew-2674612,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Mahonia aquifolium,Mahonia,"",aquifolium,,,"","",kew-2358559,TRUE,1.1,Synonym,Berberidaceae,Berberis,"",aquifolium,"","",Pursh,kew-2673426,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Actaea spicata,Actaea,"",spicata,,,"","",kew-2620577,TRUE,1.1,Accepted,Ranunculaceae,Actaea,"",spicata,"","",L.,kew-2620577,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Adonis annua,Adonis,"",annua,,,"","",kew-2623065,TRUE,1.1,Accepted,Ranunculaceae,Adonis,"",annua,"","",L.,kew-2623065,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
