Taxon,Genus,Hybrid.marker,Species,Abbrev,Infraspecific.rank,Infraspecific,Authority,ID,Plant.Name.Index,TPL.version,Taxonomic.status,Family,New.Genus,New.Hybrid.marker,New.Species,New.Infraspecific.rank,New.Infraspecific,New.Authority,New.ID,New.Taxonomic.status,Typo,WFormat,Higher.level,Date,Tax_res
Pedicularis sylvatica,Pedicularis,"",sylvatica,,,"","",kew-2550419,TRUE,1.1,Accepted,Orobanchaceae,Pedicularis,"",sylvatica,"","",L.,kew-2550419,Accepted,FALSE,FALSE,FALSE,2020-10-09,Species
Pedilanthus tithymaloides Poit.,Pedilanthus,"",tithymaloides,,,"",Poit.,kew-149264,TRUE,1.1,Synonym,Euphorbiaceae,Euphorbia,"",tithymaloides,"","",L.,kew-82541,Accepted,FALSE,FALSE,FALSE,2020-10-09,Species
Pelargonium grandiflorum Willd.,Pelargonium,"",grandiflorum,,,"",Willd.,tro-13900487,TRUE,1.1,Accepted,Geraniaceae,Pelargonium,"",grandiflorum,"","",Willd.,tro-13900487,Accepted,FALSE,FALSE,FALSE,2020-10-09,Species
Pelargonium other species,Pelargonium,"",other,,,species,"",kew-2534823,FALSE,1.1,Unresolved,Geraniaceae,Pelargonium,×,potteri,"","",Sweet,kew-2534823,Unresolved,TRUE,FALSE,TRUE,2020-10-09,Species
Pelargonium peltatum,Pelargonium,"",peltatum,,,"","",kew-2534299,TRUE,1.1,Accepted,Geraniaceae,Pelargonium,"",peltatum,"","",(L.) L'Hér.,kew-2534299,Accepted,FALSE,FALSE,FALSE,2020-10-09,Species
Pelargonium tricolor Curtis,Pelargonium,"",tricolor,,,"",Curtis,tro-13900678,TRUE,1.1,Accepted,Geraniaceae,Pelargonium,"",tricolor,"","",Curt.,tro-13900678,Accepted,FALSE,FALSE,FALSE,2020-10-09,Species
Pelargonium zonale L'Her. ex Ait.,Pelargonium,"",zonale,,,"",L'Her. ex Ait.,kew-2533854,TRUE,1.1,Accepted,Geraniaceae,Pelargonium,"",zonale,"","",(L.) L'Hér. ex Aiton,kew-2533854,Accepted,FALSE,FALSE,FALSE,2020-10-09,Species
Pellaea rotundifolia Hook.,Pellaea,"",rotundifolia,,,"",Hook.,tro-100367238,TRUE,1.1,Accepted,Pteridaceae,Pellaea,"",rotundifolia,"","",(G. Forst.) Hook.,tro-100367238,Accepted,FALSE,FALSE,FALSE,2020-10-09,Species
Peltaria alliacea,Peltaria,"",alliacea,,,"","",kew-2411972,TRUE,1.1,Accepted,Brassicaceae,Peltaria,"",alliacea,"","",Jacq.,kew-2411972,Accepted,FALSE,FALSE,FALSE,2020-10-09,Species
Peltaria turkmeria Lipsky,Peltaria,"",turkmeria,,,"",Lipsky,"",FALSE,1.1,"","",Peltaria,"",turkmeria,,"","","","",FALSE,FALSE,FALSE,2020-10-09,Genus
Peltigera canina,Peltigera,"",canina,,,"","","",FALSE,1.1,"","",Peltigera,"",canina,,"","","","",TRUE,FALSE,FALSE,2020-10-09,Genus
Pentaglottis sempervirens,Pentaglottis,"",sempervirens,,,"","",kew-2412586,TRUE,1.1,Accepted,Boraginaceae,Pentaglottis,"",sempervirens,"","",(L.) Tausch ex L.H.Bailey,kew-2412586,Accepted,FALSE,FALSE,FALSE,2020-10-09,Species
