Binomial,NCBI taxon id,Order,Family,Data source,Haploid genome size,Repeat %,Heterozygosity %
Sympetrum striolatum,6969,Odonata,Libellulidae,pacbio,1403927496,39.86,1.9
Synanthedon tipuliformis,301680,Lepidoptera,Sesiidae,10x,320810525,26.31,0.16
Synanthedon tipuliformis,301680,Lepidoptera,Sesiidae,10x,323703809,31.96,0.19
Syritta pipiens,34682,Diptera,Syrphidae,10x,324561224,20.85,1.47
Syritta pipiens,34682,Diptera,Syrphidae,10x,324179279,23.64,1.63
Syritta pipiens,34682,Diptera,Syrphidae,pacbio,309857435,11.74,1.39
Syritta pipiens,34682,Diptera,Syrphidae,pacbio,311122822,16.46,1.52
Syrphus ribesii,1124549,Diptera,Syrphidae,10x,749876539,50.72,3.46
Syrphus ribesii,1124549,Diptera,Syrphidae,10x,745031154,57.09,3.55
Syrphus ribesii,1124549,Diptera,Syrphidae,pacbio,1295113476,59.09,0.28
Syrphus ribesii,1124549,Diptera,Syrphidae,pacbio,595817457,48.43,3.54
Tabanus bromius,304241,Diptera,Tabanidae,10x,1522055610,62.95,2.55
Tabanus bromius,304241,Diptera,Tabanidae,pacbio,1363695030,58.89,2.53
Tachina fera,631328,Diptera,Tachinidae,10x,738343941,42.02,1.8
Tachina fera,631328,Diptera,Tachinidae,10x,753596467,52.15,2.02
Tachina fera,631328,Diptera,Tachinidae,pacbio,686641052,34.34,1.67
Tachina fera,631328,Diptera,Tachinidae,pacbio,697635042,46.44,1.88
Tenthredo livida,520905,Hymenoptera,Tenthredinidae,hic-arima2,595416169,69.19,0.45
Tenthredo livida,520905,Hymenoptera,Tenthredinidae,10x,346087463,39.09,0.36
Tenthredo livida,520905,Hymenoptera,Tenthredinidae,10x,347926944,43.58,0.39
Tenthredo livida,520905,Hymenoptera,Tenthredinidae,pacbio,299695600,29.45,0.42
Tenthredo livida,520905,Hymenoptera,Tenthredinidae,pacbio,298222159,34.3,0.47
Terellia serratulae,381337,Diptera,Tephritidae,10x,1121828696,57.34,1.63
Terellia serratulae,381337,Diptera,Tephritidae,10x,1092354713,63.24,2.09
Terellia serratulae,381337,Diptera,Tephritidae,pacbio,894012649,40.54,1.39
Terellia serratulae,381337,Diptera,Tephritidae,pacbio,894493728,50.39,1.75
Tethea ocularis,997289,Lepidoptera,Drepanidae,10x,354221859,26.8,0.83
Tethea ocularis,997289,Lepidoptera,Drepanidae,10x,358659713,32.6,0.9
Theodoxus fluviatilis,120472,Cycloneritimorpha,Neritidae,pacbio,11721771,79.47,2.9
Theodoxus fluviatilis,120472,Cycloneritimorpha,Neritidae,pacbio,14163737,82.18,4.1
Thyatira batis,721163,Lepidoptera,Drepanidae,10x,318545773,30.81,2.13
Thyatira batis,721163,Lepidoptera,Drepanidae,10x,319697422,34.45,2.51
Thyatira batis,721163,Lepidoptera,Drepanidae,pacbio,313073918,27.06,1.86
Thyatira batis,721163,Lepidoptera,Drepanidae,pacbio,313718780,30.75,2.15
Thymelicus lineola,218773,Lepidoptera,Hesperidae,10x,514420974,37.11,3.17
Thymelicus lineola,218773,Lepidoptera,Hesperidae,10x,516722471,42.71,3.42
Thymelicus lineola,218773,Lepidoptera,Hesperidae,pacbio,495346028,40.09,3.34
Thymelicus sylvestris,272628,Lepidoptera,Hesperiidae,10x,491489514,41.6,1.68
Thymelicus sylvestris,272628,Lepidoptera,Hesperiidae,10x,500818685,45.95,1.92
Thymelicus sylvestris,272628,Lepidoptera,Hesperiidae,pacbio,497308785,36.7,1.42
Thymelicus sylvestris,272628,Lepidoptera,Hesperiidae,pacbio,496963451,41.11,1.57
Tinea semifulvella,1101063,Lepidoptera,Tineidae,10x,624328380,41.6,0.87
Tinea semifulvella,1101063,Lepidoptera,Tineidae,10x,626727959,52.01,0.92
Tinea semifulvella,1101063,Lepidoptera,Tineidae,pacbio,592368775,37.21,0.82
Tinea semifulvella,1101063,Lepidoptera,Tineidae,pacbio,592479573,48.58,0.88
Tinea trinotella,1594354,Lepidoptera,Tineidae,10x,409402527,32.72,1.4
Tinea trinotella,1594354,Lepidoptera,Tineidae,10x,414987282,42.26,1.53
Tinea trinotella,1594354,Lepidoptera,Tineidae,pacbio,366732221,24.39,1.32
Tinea trinotella,1594354,Lepidoptera,Tineidae,pacbio,367756624,34.34,1.45
Tinea trinotella,1594354,Lepidoptera,Tineidae,hic-arima,478623291,63.09,1.47
Tiphia femorata,330862,Hymenoptera,Tiphiidae,pacbio,302487332,23.72,0.38
Tiphia femorata,330862,Hymenoptera,Tiphiidae,pacbio,301685713,27.15,0.4
Tipula paludosa,52757,Diptera,Tipulidae,10x,1047960664,36.84,0.8
Tipula paludosa,52757,Diptera,Tipulidae,10x,1048926232,45.78,0.91
Tipula paludosa,52757,Diptera,Tipulidae,pacbio,1003732077,33.75,0.78
Tipula paludosa,52757,Diptera,Tipulidae,pacbio,1001761631,43.2,0.89
Tipula vernalis,2741129,Diptera,Tipiulidae,10x,2504817232,67.59,0.41
Tipula vernalis,2741129,Diptera,Tipiulidae,10x,1441629972,61.7,2.84
Tipula vernalis,2741129,Diptera,Tipiulidae,pacbio,1255723950,57.14,2.44
Tortrix viridana,311328,Lepidoptera,Tortricidae,10x,454533689,29.81,0.7
Tortrix viridana,311328,Lepidoptera,Tortricidae,10x,459813370,37.12,0.75
Tortrix viridana,311328,Lepidoptera,Tortricidae,10x,542556451,44.72,0.96
Tortrix viridana,311328,Lepidoptera,Tortricidae,10x,554247403,50.75,1.08
Triodia sylvina,537462,Lepidoptera,Hepialidae,10x,2583271795,45.6,1.36
Triodia sylvina,537462,Lepidoptera,Hepialidae,10x,2585521688,54.98,1.56
Trivia monacha,2496348,Littorinimorpha,Triviidae,pacbio,3680616,76.17,3.13
Trivia monacha,2496348,Littorinimorpha,Triviidae,pacbio,4730781,77.8,4.49
Tyria jacobaeae,179666,Lepidoptera,Erebidae,10x,627577714,26.04,1.09
Tyria jacobaeae,179666,Lepidoptera,Erebidae,10x,632534968,32.3,1.16
Udea olivalis,1002971,Lepidoptera,Pyralidae,10x,691052744,37.54,0.41
Udea olivalis,1002971,Lepidoptera,Pyralidae,10x,694519247,44.67,0.45
Vanessa atalanta,42275,Lepidoptera,Nymphalidae,10x,376174577,15.86,1.19
Vanessa atalanta,42275,Lepidoptera,Nymphalidae,10x,379843885,20.89,1.29
Vanessa atalanta,42275,Lepidoptera,Nymphalidae,pacbio,358777358,10.5,1.13
Vanessa cardui,171605,Lepidoptera,Nymphalidae,10x,442413899,25.92,2.59
Vanessa cardui,171605,Lepidoptera,Nymphalidae,10x,446587562,31.83,2.9
Vanessa cardui,171605,Lepidoptera,Nymphalidae,pacbio,404937793,20.51,2.47
Vanessa cardui,171605,Lepidoptera,Nymphalidae,pacbio,408423690,25.99,2.77
Vespa crabro,7445,Hymenoptera,Vespidae,10x,331727223,46.37,0.32
Vespa crabro,7445,Hymenoptera,Vespidae,10x,324782618,50.14,0.34
Vespa crabro,7445,Hymenoptera,Vespidae,pacbio,4114283,80.91,2.34
Vespa crabro,7445,Hymenoptera,Vespidae,pacbio,5132328,87.58,3.52
Vespula germanica,30212,Hymenoptera,Vespidae,hic-arima2,168144470,8.16,0.6
Vespula germanica,30212,Hymenoptera,Vespidae,hic-arima2,166940302,12.08,0.73
Vespula germanica,30212,Hymenoptera,Vespidae,10x,202531885,16.37,0.24
Vespula germanica,30212,Hymenoptera,Vespidae,10x,202784100,21.39,0.21
Vespula germanica,30212,Hymenoptera,Vespidae,pacbio,193310497,11.63,0.23
Vespula germanica,30212,Hymenoptera,Vespidae,pacbio,190797880,16.15,0.23
Vespula vulgaris,7454,Hymenoptera,Vespidae,hic-arima2,165519838,7.76,0.55
Vespula vulgaris,7454,Hymenoptera,Vespidae,hic-arima2,166700627,13.71,0.69
Vespula vulgaris,7454,Hymenoptera,Vespidae,10x,196934980,15.82,0.25
Vespula vulgaris,7454,Hymenoptera,Vespidae,10x,198772614,21.09,0.22
Vespula vulgaris,7454,Hymenoptera,Vespidae,pacbio,192555384,11.96,0.25
Vespula vulgaris,7454,Hymenoptera,Vespidae,pacbio,192012417,17.06,0.24
Villa cingulata,2753613,Diptera,Bombyliidae,10x,421622992,35.35,0.9
Villa cingulata,2753613,Diptera,Bombyliidae,10x,428005424,44.27,0.87
Volucella bombylans,1352473,Diptera,Syrphidae,10x,1287645112,40.11,1.83
Volucella bombylans,1352473,Diptera,Syrphidae,10x,1301485073,48.86,1.98
Volucella inanis,226151,Diptera,Syrphidae,10x,1013860496,25.29,0.68
Volucella inanis,226151,Diptera,Syrphidae,10x,1023272075,35.24,0.73
Volucella inanis,226151,Diptera,Syrphidae,pacbio,959974127,21.22,0.63
Volucella inanis,226151,Diptera,Syrphidae,pacbio,960756335,31.36,0.69
Watersipora subatra,2589382,Cheilostomatida,Watersiporidae,pacbio,764506036,43.04,1.88
Watersipora subatra,2589382,Cheilostomatida,Watersiporidae,pacbio,750313531,49.29,2.21
Watsonalla cultraria,721166,Lepidoptera,Drepanidae,10x,600059030,40.57,1.85
Watsonalla cultraria,721166,Lepidoptera,Drepanidae,10x,605258771,49.14,2.05
Watsonalla cultraria,721166,Lepidoptera,Drepanidae,pacbio,1821429809,38.96,1.34
Watsonalla cultraria,721166,Lepidoptera,Drepanidae,pacbio,1747723757,48.4,1.52
Xanthogramma pedissequum,414876,Diptera,Syrphidae,10x,1045184942,49.46,1.51
Xanthogramma pedissequum,414876,Diptera,Syrphidae,10x,1046379487,57.81,1.69
Xanthogramma pedissequum,414876,Diptera,Syrphidae,pacbio,936003779,41.21,1.37
Xanthogramma pedissequum,414876,Diptera,Syrphidae,pacbio,933297684,51.77,1.54
Xestia xanthographa,988049,Lepidoptera,Noctuidae,10x,1031031889,55.43,2.06
Xestia xanthographa,988049,Lepidoptera,Noctuidae,10x,1018733523,60.86,2.36
Xestia xanthographa,988049,Lepidoptera,Noctuidae,pacbio,945372049,51.55,1.98
Xestia xanthographa,988049,Lepidoptera,Noctuidae,pacbio,938773925,57.88,2.26
Xylota sylvarum,374264,Diptera,Syrphidae,10x,518856051,28.3,0.74
Xylota sylvarum,374264,Diptera,Syrphidae,10x,515380027,33.75,0.82
Xylota sylvarum,374264,Diptera,Syrphidae,pacbio,474911972,21.09,0.7
Xylota sylvarum,374264,Diptera,Syrphidae,pacbio,471657467,27.24,0.79
Yponomeuta evonymella,2567737,Lepidoptera,Yponomeutidae,10x,615788799,37.56,1.12
Yponomeuta evonymella,2567737,Lepidoptera,Yponomeutidae,10x,621371334,45.63,1.18
Ypsolopha sequella,1870436,Lepidoptera,Ypsolophidae,10x,1000062173,53.29,1.01
Ypsolopha sequella,1870436,Lepidoptera,Ypsolophidae,10x,995063511,60.74,1.14
Ypsolopha sequella,1870436,Lepidoptera,Ypsolophidae,pacbio,905028925,46.93,0.94
Ypsolopha sequella,1870436,Lepidoptera,Ypsolophidae,pacbio,902375149,55.84,1.07
Zygaena filipendulae,287375,Lepidoptera,Zygaenidae,10x,394575524,37.76,1.77
Zygaena filipendulae,287375,Lepidoptera,Zygaenidae,10x,401775758,44.73,1.92
