Date,Category,Commendation,Camera,Lens,FocalLength,ShutterSpeed,Aperture,ISO
2019,Rising Star Portfolio Award,Winner,Canon EOS 5D Mark IV,400mm f2.8 lens,400mm,1/1600sec,f2.8(+1.3e/v),-
2019,Rising Star Portfolio Award,Winner,Canon EOS 5D Mark IV,35mm f1.4 lens,35mm,1/2500sec,f14(+0.7e/v),-
2019,Rising Star Portfolio Award,Winner,Canon EOS 5D Mark IV,400mm f2.8 lens,400mm,1/3200sec,f4,-
2019,Rising Star Portfolio Award,Winner,Canon EOS 7D Mark II,400mm f2.8 lens,400mm,1/6400sec,f4.5(+0.7e/v),-
2019,Wildlife Photographer Portfolio Award,Winner,Nikon D810,400mm f2.8 lens,400mm,1/400sec,f5.6,-
2019,Wildlife Photographer Portfolio Award,Winner,Nikon D500,400mm f2.8 lens,400mm,1/320sec,f5.6,-
2019,Wildlife Photographer Portfolio Award,Winner,Nikon D810,400mm f2.8 lens,400mm,1/200sec,f5.6,-
2019,Wildlife Photographer Portfolio Award,Winner,Nikon D700,70–200mm f2.8 lens , 195mm,1/60sec,f8,-
2019,Wildlife Photographer Portfolio Award,Winner,Nikon D700,185mm f3.5 lens,185mm,1/160sec,f5.6,-
2019,Wildlife Photographer Portfolio Award,Winner,Nikon D810,45mm f2.8 tilt-shift lens,45mm,1/60sec,f11,ISO800
2019,Special Award: LUMIX People’s Choice Award,Winner,Nikon D500,105mm f2.8 lens,105mm,1/125sec,f2.8,-
2019,Special Award: LUMIX People’s Choice Award,Highly Commended,Nikon D4S,85mm f1.4 lens,85mm,1/5000sec,f1.4,-
2019,Special Award: LUMIX People’s Choice Award,Highly Commended,Canon EOS 1D X Mark II,500mm f4 lens,500mm,1/1250sec,f13(-1e/v),-
2019,Special Award: LUMIX People’s Choice Award,Highly Commended,Nikon D850,Nikon AF-S 200-400mm lens , f4 VRII,1/800sec,f5,-
2019,Special Award: LUMIX People’s Choice Award,Highly Commended,Canon 5D Mark II,100-400mm f4.5/5.6 lens,400mm,1/100sec,f5.6,-
2019,10 Years and Under,Winner,Sony DSC-HX400V,24–210mm f2.8–6.3 lens , 51mm,1/320sec,f5,-
2019,10 Years and Under,Highly Commended,Nikon D500,300mm f4 lens,300mm,1/640sec,f6.3,-
2019,10 Years and Under,Highly Commended,Canon EOS 550D,55–250mm f4–5.6 lens , 55mm,1/800sec,f4,-
2019,10 Years and Under,Highly Commended,Canon EOS 700D,250mm f4–5.6 lens,250mm,1/320sec,f7.1,-
2019,11-14 Years,Young Grand Title Winner 2019,Canon EOS 5D Mark III,100mm f2.8 lens,100mm,1/125sec,f29,ISO200
2019,11-14 Years,Highly Commended,Nikon COOLPIX P900,1/30 sec , f2.8,-,-,ISO400
2019,11-14 Years,Highly Commended,Canon EOS 5D Mark lll,100–400mm f4.5–5.6 lens , 400mm,1/2000sec,f8,ISO2000
2019,11-14 Years,Highly Commended,Nikon D700,28–300mm f3.5–5.6 lens , 45mm,1/125sec,f10,-
2019,15-17 Years,Winner,Nikon D800E,16–35mm f4 lens , 30mm,1/60sec,f8,ISO100
2019,15-17 Years,Highly Commended,Nikon D500,200–500mm f5.6 lens , 500mm,1/500sec,f5.6(-1e/v),-
2019,15-17 Years,Highly Commended,Nikon D7100,80–400mm f5.6 lens , 400mm,1/640sec,f5.6,-
2018,Animals in their Environment,Winner,DJI Phantom 4 Pro Plus,8.8–24mm (35mm-form, equiv),1/200sec,f2.8–11lens,-
2018,Animals in their Environment,Highly commended,Nikon D5,70–200mm f2.8 lens , 98mm,1/3200sec,f5,-
2018,Animals in their Environment,Highly commended,Nikon D500,14–24mm f2.8 lens , 14mm,1/200sec,f10,ISO400
2018,Animals in their Environment,Highly commended,Canon EOS 550D,Sigma 10–20mm f4–5.6 lens , 16mm,1/20sec,f9,ISO200
2018,Animals in their Environment,Highly commended,Nikon D810,Tokina 10–17mm f3.5–4.5 lens , 15mm,1/125sec,f18,ISO100
2018,Animals in their Environment,Highly commended,Canon 7D,11–22mm f3.5–4.5 lens,22mm,1/25sec,f10,ISO250
2018,Animals in their Environment,Highly commended,Nikon D7000,Nikon 10–24mm f3.5–4.5 lens , 15mm,1/100sec,f4.5(-0.67e/v),ISO3200
2018,Animal Portraits,Adult Grand Title Winner 2018,Nikon D810,Tamron 24–70mm f2.8 lens , 24mm,1/320sec,f8,ISO1600
